Fighter,Universe,Gender,SSB,Melee,Brawl,SSB4,Ult.,Year Created,First Game
Mario,Super Mario Bros.,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1981,Donkey Kong Arcade 
Donkey Kong,Donkey Kong,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1981,Donkey Kong Arcade
Link,The Legend of Zelda,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1986,The Legend of Zelda
Samus,Metroid,Female,ýýý,ýýý,ýýý,ýýý,ýýý,1986,Metroid
Yoshi,Yoshi's Island,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1990,Super Mario World
Kirby,Kirby,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1992,Kirby's Dream Land
Fox,Star Fox,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1993,Star Fox
Pikachu,Pokemon,Male and Female,ýýý,ýýý,ýýý,ýýý,ýýý,1996,Pokemon Red/Blue
Luigi,Super Mario Bros.,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1983,Mario Bros Arcade
Ness,EarthBound,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1994,EarthBound/Mother 2
Captain Falcon,F-Zero,Male,ýýý,ýýý,ýýý,ýýý,ýýý,1990,F-Zero
Jigglypuff,Pokemon,Unspecified,ýýý,ýýý,ýýý,ýýý,ýýý,1996,Pokemon Red/Blue
Peach,Super Mario Bros.,Female,,ýýý,ýýý,ýýý,ýýý,1985,Super Mario Bros
Bowser,Super Mario Bros.,Male,,ýýý,ýýý,ýýý,ýýý,1985,Super Mario Bros
Ice Climbers,Ice Climber,Male and Female,,ýýý,ýýý,,ýýý,1985,Ice Climber
Sheik,The Legend of Zelda,Female,,ýýý,ýýý,ýýý,ýýý,1998,The Legend of Zelda: Ocarina of Time
Zelda,The Legend of Zelda,Female,,ýýý,ýýý,ýýý,ýýý,1986,The Legend of Zelda
Dr. Mario,Super Mario Bros.,Male,,ýýý,,ýýý,ýýý,1990,Dr. Mario
Pichu,Pokemon,Unspecified,,ýýý,,,ýýý,1999,Pokemon Gold/Silver
Falco,Star Fox,Male,,ýýý,ýýý,ýýý,ýýý,1993,Star Fox
Marth,Fire Emblem,Male,,ýýý,ýýý,ýýý,ýýý,1990,Fire Emblem: Shadow Dragon and the Blade of LIght
Young Link,The Legend of Zelda,Male,,ýýý,,,ýýý,1998,The Legend of Zelda: Ocarina of Time
Ganondorf,The Legend of Zelda,Male,,ýýý,ýýý,ýýý,ýýý,1998,The Legend of Zelda: Ocarina of Time
Mewtwo,Pokemon,Genderless,,ýýý,,DLC,ýýý,1996,Pokemon Red/Blue
Roy,Fire Emblem,Male,,ýýý,,DLC,ýýý,2002,Fire Emblem: The Binding Blade
Mr. Game & Watch,Game & Watch,Male,,ýýý,ýýý,ýýý,ýýý,1980,Game & Watch: Ball
Meta Knight,Kirby,Male,,,ýýý,ýýý,ýýý,1993,Kirby's Adventure
Pit,Kid Icarus,Male,,,ýýý,ýýý,ýýý,1986,Kid Icarus
Zero Suit Samus,Metroid,Female,,,ýýý,ýýý,ýýý,2004,Metroid: Zero Mission
Wario,WarioWare,Male,,,ýýý,ýýý,ýýý,1992,Super Mario Land 2: 6 Golden Coins
Snake,Metal Gear,Male,,,ýýý,,ýýý,1987,Metal Gear
Ike,Fire Emblem,Male,,,ýýý,ýýý,ýýý,2005,Fire Emblem: Path of Radiance
Squirtle,Pokemon,Unspecified,,,ýýý,,ýýý,1996,Pokemon Red/Blue
Ivysaur,Pokemon,Unspecified,,,ýýý,,ýýý,1996,Pokemon Red/Blue
Charizard,Pokemon,Unspecified,,,ýýý,ýýý,ýýý,1996,Pokemon Red/Blue
Diddy Kong,Donkey Kong,Male,,,ýýý,ýýý,ýýý,1994,Donkey Kong Country
Lucas,EarthBound,Male,,,ýýý,DLC,ýýý,2006,Mother 3
Sonic,Sonic the Hedgehog,Male,,,ýýý,ýýý,ýýý,1991,Sonic the Hedgehog
King Dedede,Kirby,Male,,,ýýý,ýýý,ýýý,1992,Kirby's Dream Land
Olimar,Pikmin,Male,,,ýýý,ýýý,ýýý,2001,Pikmin
Lucario,Pokemon,Unspecified,,,ýýý,ýýý,ýýý,2006,Pokemon Diamond/Pearl
R.O.B.,R.O.B.,Male,,,ýýý,ýýý,ýýý,1985,Stack-Up
Toon Link,The Legend of Zelda,Male,,,ýýý,ýýý,ýýý,2002,The Legend of Zelda: Four Swords
Wolf,Star Fox,Male,,,ýýý,,ýýý,1997,Star Fox 64
Lucina,Fire Emblem,Female,,,,ýýý,ýýý,2012,Fire Emblem Awakening
Dark Pit,Kid Icarus,Male,,,,ýýý,ýýý,2012,Kid Icarus: Uprising
Villager,Animal Crossing,Male or Female,,,,ýýý,ýýý,2001,Doubutsu no Mori
Mega Man,Mega Man,Male,,,,ýýý,ýýý,1987,Mega Man
Wii Fit Trainer,Wii Fit,Female or Male,,,,ýýý,ýýý,2007,Wii Fit
Rosalina & Luma,Super Mario Bros.,Female,,,,ýýý,ýýý,2007,Super Mario Galaxy
Little Mac,Punch-Out!!,Male,,,,ýýý,ýýý,1984,Punch-Out!
Greninja,Pokemon,Unspecified,,,,ýýý,ýýý,2013,Pokemon X/Y
Mii Brawler,Super Smash Bros.,Male or Female,,,,ýýý,ýýý,2006,Mii Channel 
Mii Swordfighter,Super Smash Bros.,Male or Female,,,,ýýý,ýýý,2006,Mii Channel 
Mii Gunner,Super Smash Bros.,Male or Female,,,,ýýý,ýýý,2006,Mii Channel 
Palutena,Kid Icarus,Female,,,,ýýý,ýýý,1986,Kid Icarus
Pac-Man,Pac-Man,Male,,,,ýýý,ýýý,1980,Pac-Man Arcade
Robin,Fire Emblem,Male or Female,,,,ýýý,ýýý,2012,Fire Emblem Awakening
Shulk,Xenoblade,Male,,,,ýýý,ýýý,2010,Xenoblade Chronicles
Bowser Jr.,Super Mario Bros.,Male or Female,,,,ýýý,ýýý,2002,Super Mario Sunshine
Duck Hunt,Duck Hunt,Unspecified,,,,ýýý,ýýý,1984,Duck Hunt
Ryu,Street Fighter,Male,,,,DLC,ýýý,1987,Street Fighter
Cloud,Final Fantasy,Male,,,,DLC,ýýý,1997,Final Fantasy VII
Corrin,Fire Emblem,Male or Female,,,,DLC,ýýý,2015,Fire Emblem Fates
Bayonetta,Bayonetta,Female,,,,DLC,ýýý,2009,Bayonetta
Dark Samus,Metroid,Female,,,,,ýýý,2002,Metroid Prime
Daisy,Super Mario Bros.,Female,,,,,ýýý,1989,Super Mario Land 
Chrom,Fire Emblem,Male,,,,,ýýý,2012,Fire Emblem Awakening
Ken,Street Fighter,Male,,,,,ýýý,1987,Street Fighter
Inkling,Splatoon,Female or Male,,,,,ýýý,2015,Splatoon
Ridley,Metroid,Male,,,,,ýýý,1986,Metroid
Simon,Castlevania,Male,,,,,ýýý,1986,Castlevania
Richter,Castlevania,Male,,,,,ýýý,1993,Dracula X: Rondo of Blood
King K. Rool,Donkey Kong,Male,,,,,ýýý,1994,Donkey Kong Country
Isabelle,Animal Crossing,Female,,,,,ýýý,2012,Animal Crossing: New Leaf
Incineroar,Pokemon,Unspecified,,,,,ýýý,2016,Pokemon Sun/Moon
Piranha Plant,Super Mario Bros.,Plant,,,,,DLC,1985,Super Mario Bros
Joker,Persona 5,Male,,,,,DLC,2016,Persona 5
